name,pos,est._return_date,status,comment,name_encoded,pos_encoded,status_encoded
Jesse Luketa,LB,,Injured Reserve,"Dec 20: Luketa (thigh) was placed on injured reserve Friday, Darren Urban of the Cardinals' official site reports.",9,4,0
Elijah Jones,CB,,Injured Reserve,"Dec 20: Jones (ankle) has been ruled out ahead of Sunday's matchup against the Panthers, Josh Weinfuss of ESPN.com reports.",6,1,0
Sean Murphy-Bunting,CB,,Questionable,"Dec 20: Murphy-Bunting (hand) is listed as questionable ahead of Sunday's matchup against the Panthers, Josh Weinfuss of ESPN.com reports.",15,1,2
Matt Prater,PK,,Injured Reserve,"Dec 20: Prater (knee) has been ruled out for Sunday's contest at Carolina, Josh Weinfuss of ESPN.com reports.",12,7,0
Evan Brown,C,,Questionable,,8,0,2
DeeJay Dallas,RB,,Questionable,"Dec 20: Dallas is one of two healthy running backs on Arizona's 53-man roster as of Friday, Josh Weinfuss of ESPN.com reports.",4,8,2
Paris Johnson Jr.,OT,,Out,"Dec 20: Johnson (knee) will miss Sunday's outing against the Panthers, Josh Weinfuss of ESPN.com reports.",13,5,1
Mack Wilson Sr.,LB,,Out,"Dec 20: Wilson (concussion) is out for Sunday's matchup against the Panthers, Josh Weinfuss of ESPN.com reports.",11,4,1
Trey Benson,RB,,Out,"Dec 20: Benson (ankle) has been ruled out for Sunday's game at Carolina, Josh Weinfuss of ESPN.com reports.",16,8,1
Roy Lopez,DT,,Questionable,,14,2,2
Blake Gillikin,P,,Injured Reserve,"Dec 14: Arizona placed Gillikin (foot) on injured reserve Saturday, Theo Mackie of The Arizona Republic reports.",2,6,0
Emari Demercado,RB,,Injured Reserve,"Dec 14: The Cardinals placed Demercado (back) on injured reserve Saturday, Theo Mackie of The Arizona Republic reports.",7,8,0
Dennis Gardeck,LB,,Injured Reserve,"Oct 25: The Cardinals placed Gardeck (knee) on injured reserve Friday, Darren Urban of the team's official site reports.",5,4,0
Bilal Nichols,DT,,Injured Reserve,"Oct 15: The Cardinals placed Nichols (undisclosed) on injured reserve Tuesday, and he is expected to miss the rest of the regular season, Adam Schefter of ESPN reports.",1,2,0
Will Hernandez,G,,Injured Reserve,Oct 8: Hernandez (knee) was placed on injured reserve Tuesday.,17,3,0
Justin Jones,DT,,Injured Reserve,Sep 25: Jones (triceps) was placed on injured reserve Wednesday.,10,2,0
BJ Ojulari,LB,,Injured Reserve,"Aug 5: The Cardinals placed Ojulari (knee) on injured reserve Monday, Darren Urban of the team's official site reports.",0,4,0
Carter O'Donnell,OT,,Injured Reserve,"Jul 24: O'Donnell (undisclosed) reverted to the Cardinals' injured reserve Wednesday, Aaron Wilson of KPRC 2 Houston reports.",3,5,0
