commence_time,home_team,away_team,bookmaker,market_type,name,price,point
2024-12-21T00:10:00Z,Philadelphia 76ers,Charlotte Hornets,FanDuel,spreads,Charlotte Hornets,2.08,19.5
2024-12-21T00:10:00Z,Philadelphia 76ers,Charlotte Hornets,FanDuel,spreads,Philadelphia 76ers,1.71,-19.5
2024-12-21T00:10:00Z,Philadelphia 76ers,Charlotte Hornets,FanDuel,totals,Over,1.83,220.5
2024-12-21T00:10:00Z,Philadelphia 76ers,Charlotte Hornets,FanDuel,totals,Under,1.91,220.5
2024-12-21T00:10:00Z,Philadelphia 76ers,Charlotte Hornets,MyBookie.ag,h2h,Charlotte Hornets,9.75,
2024-12-21T00:10:00Z,Philadelphia 76ers,Charlotte Hornets,MyBookie.ag,h2h,Philadelphia 76ers,1.04,
2024-12-21T00:10:00Z,Philadelphia 76ers,Charlotte Hornets,MyBookie.ag,spreads,Charlotte Hornets,1.85,17.5
2024-12-21T00:10:00Z,Philadelphia 76ers,Charlotte Hornets,MyBookie.ag,spreads,Philadelphia 76ers,1.9,-17.5
2024-12-21T00:10:00Z,Philadelphia 76ers,Charlotte Hornets,MyBookie.ag,totals,Over,1.9,216.5
2024-12-21T00:10:00Z,Philadelphia 76ers,Charlotte Hornets,MyBookie.ag,totals,Under,1.85,216.5
2024-12-21T00:10:00Z,Philadelphia 76ers,Charlotte Hornets,DraftKings,h2h,Charlotte Hornets,31.0,
2024-12-21T00:10:00Z,Philadelphia 76ers,Charlotte Hornets,DraftKings,h2h,Philadelphia 76ers,1.0,
2024-12-21T00:10:00Z,Philadelphia 76ers,Charlotte Hornets,DraftKings,spreads,Charlotte Hornets,1.87,23.5
2024-12-21T00:10:00Z,Philadelphia 76ers,Charlotte Hornets,DraftKings,spreads,Philadelphia 76ers,1.87,-23.5
2024-12-21T00:10:00Z,Philadelphia 76ers,Charlotte Hornets,DraftKings,totals,Over,1.87,221.5
2024-12-21T00:10:00Z,Philadelphia 76ers,Charlotte Hornets,DraftKings,totals,Under,1.87,221.5
2024-12-21T00:10:00Z,Philadelphia 76ers,Charlotte Hornets,BetMGM,spreads,Charlotte Hornets,1.83,23.5
2024-12-21T00:10:00Z,Philadelphia 76ers,Charlotte Hornets,BetMGM,spreads,Philadelphia 76ers,1.91,-23.5
2024-12-21T00:10:00Z,Philadelphia 76ers,Charlotte Hornets,BetMGM,totals,Over,1.91,221.5
2024-12-21T00:10:00Z,Philadelphia 76ers,Charlotte Hornets,BetMGM,totals,Under,1.83,221.5
2024-12-21T00:10:00Z,Philadelphia 76ers,Charlotte Hornets,Bovada,spreads,Charlotte Hornets,1.87,20.5
2024-12-21T00:10:00Z,Philadelphia 76ers,Charlotte Hornets,Bovada,spreads,Philadelphia 76ers,1.87,-20.5
2024-12-21T00:10:00Z,Philadelphia 76ers,Charlotte Hornets,Bovada,totals,Over,1.87,221.0
2024-12-21T00:10:00Z,Philadelphia 76ers,Charlotte Hornets,Bovada,totals,Under,1.87,221.0
2024-12-21T00:10:00Z,Philadelphia 76ers,Charlotte Hornets,BetRivers,h2h,Charlotte Hornets,10.5,
2024-12-21T00:10:00Z,Philadelphia 76ers,Charlotte Hornets,BetRivers,h2h,Philadelphia 76ers,1.03,
2024-12-21T00:10:00Z,Philadelphia 76ers,Charlotte Hornets,BetRivers,spreads,Charlotte Hornets,1.85,18.5
2024-12-21T00:10:00Z,Philadelphia 76ers,Charlotte Hornets,BetRivers,spreads,Philadelphia 76ers,1.85,-18.5
2024-12-21T00:10:00Z,Philadelphia 76ers,Charlotte Hornets,BetRivers,totals,Over,1.83,222.5
2024-12-21T00:10:00Z,Philadelphia 76ers,Charlotte Hornets,BetRivers,totals,Under,1.85,222.5
2024-12-21T00:40:00Z,Cleveland Cavaliers,Milwaukee Bucks,BetOnline.ag,h2h,Cleveland Cavaliers,1.27,
2024-12-21T00:40:00Z,Cleveland Cavaliers,Milwaukee Bucks,BetOnline.ag,h2h,Milwaukee Bucks,4.05,
2024-12-21T00:40:00Z,Cleveland Cavaliers,Milwaukee Bucks,BetOnline.ag,spreads,Cleveland Cavaliers,1.91,-8.5
2024-12-21T00:40:00Z,Cleveland Cavaliers,Milwaukee Bucks,BetOnline.ag,spreads,Milwaukee Bucks,1.91,8.5
2024-12-21T00:40:00Z,Cleveland Cavaliers,Milwaukee Bucks,BetOnline.ag,totals,Over,1.91,221.0
2024-12-21T00:40:00Z,Cleveland Cavaliers,Milwaukee Bucks,BetOnline.ag,totals,Under,1.91,221.0
2024-12-21T00:40:00Z,Cleveland Cavaliers,Milwaukee Bucks,LowVig.ag,h2h,Cleveland Cavaliers,1.27,
2024-12-21T00:40:00Z,Cleveland Cavaliers,Milwaukee Bucks,LowVig.ag,h2h,Milwaukee Bucks,4.05,
2024-12-21T00:40:00Z,Cleveland Cavaliers,Milwaukee Bucks,LowVig.ag,spreads,Cleveland Cavaliers,1.94,-8.5
2024-12-21T00:40:00Z,Cleveland Cavaliers,Milwaukee Bucks,LowVig.ag,spreads,Milwaukee Bucks,1.94,8.5
2024-12-21T00:40:00Z,Cleveland Cavaliers,Milwaukee Bucks,LowVig.ag,totals,Over,1.93,221.0
2024-12-21T00:40:00Z,Cleveland Cavaliers,Milwaukee Bucks,LowVig.ag,totals,Under,1.93,221.0
2024-12-21T00:40:00Z,Cleveland Cavaliers,Milwaukee Bucks,MyBookie.ag,h2h,Cleveland Cavaliers,1.28,
2024-12-21T00:40:00Z,Cleveland Cavaliers,Milwaukee Bucks,MyBookie.ag,h2h,Milwaukee Bucks,3.72,
2024-12-21T00:40:00Z,Cleveland Cavaliers,Milwaukee Bucks,MyBookie.ag,spreads,Cleveland Cavaliers,1.91,-8.5
2024-12-21T00:40:00Z,Cleveland Cavaliers,Milwaukee Bucks,MyBookie.ag,spreads,Milwaukee Bucks,1.91,8.5
2024-12-21T00:40:00Z,Cleveland Cavaliers,Milwaukee Bucks,MyBookie.ag,totals,Over,1.91,221.0
2024-12-21T00:40:00Z,Cleveland Cavaliers,Milwaukee Bucks,MyBookie.ag,totals,Under,1.91,221.0
2024-12-21T00:40:00Z,Cleveland Cavaliers,Milwaukee Bucks,FanDuel,h2h,Cleveland Cavaliers,1.25,
2024-12-21T00:40:00Z,Cleveland Cavaliers,Milwaukee Bucks,FanDuel,h2h,Milwaukee Bucks,4.15,
2024-12-21T00:40:00Z,Cleveland Cavaliers,Milwaukee Bucks,FanDuel,spreads,Cleveland Cavaliers,1.89,-8.5
2024-12-21T00:40:00Z,Cleveland Cavaliers,Milwaukee Bucks,FanDuel,spreads,Milwaukee Bucks,1.93,8.5
2024-12-21T00:40:00Z,Cleveland Cavaliers,Milwaukee Bucks,FanDuel,totals,Over,1.93,221.0
2024-12-21T00:40:00Z,Cleveland Cavaliers,Milwaukee Bucks,FanDuel,totals,Under,1.89,221.0
2024-12-21T00:40:00Z,Cleveland Cavaliers,Milwaukee Bucks,DraftKings,h2h,Cleveland Cavaliers,1.28,
2024-12-21T00:40:00Z,Cleveland Cavaliers,Milwaukee Bucks,DraftKings,h2h,Milwaukee Bucks,3.85,
2024-12-21T00:40:00Z,Cleveland Cavaliers,Milwaukee Bucks,DraftKings,spreads,Cleveland Cavaliers,1.89,-9.0
2024-12-21T00:40:00Z,Cleveland Cavaliers,Milwaukee Bucks,DraftKings,spreads,Milwaukee Bucks,1.93,9.0
2024-12-21T00:40:00Z,Cleveland Cavaliers,Milwaukee Bucks,DraftKings,totals,Over,1.91,221.0
2024-12-21T00:40:00Z,Cleveland Cavaliers,Milwaukee Bucks,DraftKings,totals,Under,1.91,221.0
2024-12-21T00:40:00Z,Cleveland Cavaliers,Milwaukee Bucks,BetMGM,h2h,Cleveland Cavaliers,1.27,
2024-12-21T00:40:00Z,Cleveland Cavaliers,Milwaukee Bucks,BetMGM,h2h,Milwaukee Bucks,3.9,
2024-12-21T00:40:00Z,Cleveland Cavaliers,Milwaukee Bucks,BetMGM,spreads,Cleveland Cavaliers,1.91,-8.5
