NAME,POS,EST. RETURN DATE,STATUS,COMMENT
Jesse Luketa,LB,Jan 19,Injured Reserve,"Dec 20: Luketa (thigh) was placed on injured reserve Friday, Darren Urban of the Cardinals' official site reports."
Elijah Jones,CB,Dec 29,Injured Reserve,"Dec 20: Jones (ankle) has been ruled out ahead of Sunday's matchup against the Panthers, Josh Weinfuss of ESPN.com reports."
Sean Murphy-Bunting,CB,Dec 22,Questionable,"Dec 20: Murphy-Bunting (hand) is listed as questionable ahead of Sunday's matchup against the Panthers, Josh Weinfuss of ESPN.com reports."
Matt Prater,PK,Dec 29,Injured Reserve,"Dec 20: Prater (knee) has been ruled out for Sunday's contest at Carolina, Josh Weinfuss of ESPN.com reports."
Evan Brown,C,Dec 22,Questionable,
DeeJay Dallas,RB,Dec 22,Questionable,"Dec 20: Dallas is one of two healthy running backs on Arizona's 53-man roster as of Friday, Josh Weinfuss of ESPN.com reports."
Paris Johnson Jr.,OT,Dec 29,Out,"Dec 20: Johnson (knee) will miss Sunday's outing against the Panthers, Josh Weinfuss of ESPN.com reports."
Mack Wilson Sr.,LB,Dec 29,Out,"Dec 20: Wilson (concussion) is out for Sunday's matchup against the Panthers, Josh Weinfuss of ESPN.com reports."
Trey Benson,RB,Dec 29,Out,"Dec 20: Benson (ankle) has been ruled out for Sunday's game at Carolina, Josh Weinfuss of ESPN.com reports."
Roy Lopez,DT,Dec 22,Questionable,
Blake Gillikin,P,Jan 11,Injured Reserve,"Dec 14: Arizona placed Gillikin (foot) on injured reserve Saturday, Theo Mackie of The Arizona Republic reports."
Emari Demercado,RB,Jan 11,Injured Reserve,"Dec 14: The Cardinals placed Demercado (back) on injured reserve Saturday, Theo Mackie of The Arizona Republic reports."
Dennis Gardeck,LB,Feb 10,Injured Reserve,"Oct 25: The Cardinals placed Gardeck (knee) on injured reserve Friday, Darren Urban of the team's official site reports."
Bilal Nichols,DT,Feb 10,Injured Reserve,"Oct 15: The Cardinals placed Nichols (undisclosed) on injured reserve Tuesday, and he is expected to miss the rest of the regular season, Adam Schefter of ESPN reports."
Will Hernandez,G,Feb 10,Injured Reserve,Oct 8: Hernandez (knee) was placed on injured reserve Tuesday.
Justin Jones,DT,Feb 10,Injured Reserve,Sep 25: Jones (triceps) was placed on injured reserve Wednesday.
BJ Ojulari,LB,Feb 10,Injured Reserve,"Aug 5: The Cardinals placed Ojulari (knee) on injured reserve Monday, Darren Urban of the team's official site reports."
Carter O'Donnell,OT,Feb 10,Injured Reserve,"Jul 24: O'Donnell (undisclosed) reverted to the Cardinals' injured reserve Wednesday, Aaron Wilson of KPRC 2 Houston reports."
