player,position,date,status,details
N/A,N/A,N/A,N/A,N/A
Cody Zeller,C,Dec 21,Out,"Dec 10: Zeller (personal) won't play in Wednesday's game versus the Knicks, Kevin Chouinard of the Hawks' official site reports."
Seth Lundy,G,Dec 21,Out,Nov 12: Lundy will be re-evaluated in approximately four weeks due to a sprained left ankle.
N/A,N/A,N/A,N/A,N/A
Al Horford,C,Dec 19,Day-To-Day,Dec 16: Horford (undisclosed) will not play in Sunday's game against the Wizards for rest purposes
Kristaps Porzingis,C,Dec 19,Day-To-Day,Dec 15: Porzingis (heel) left Sunday's game against the Wizards in the second quarter and did not return.
N/A,N/A,N/A,N/A,N/A
Reece Beekman,G,Dec 19,Out,"Dec 15: The Warriors traded Beekman to the Nets on Sunday, along with Dennis Schroder and a second-round pick, in exchange for three second-round picks."
Ziaire Williams,F,Dec 19,Out,"Dec 15: Williams (knee) has been ruled out for Monday's game against the Cavaliers, Erik Slater of ClutchPoints.com reports."
Bojan Bogdanovic,SF,Dec 29,Out,"Dec 12: The Nets announced Thursday that Bogdanovic (foot) remains without a timetable for his return, Erik Slater of ClutchPoints.com reports."
Cam Thomas,SG,Dec 19,Out,Nov 27: Brooklyn announced Wednesday that Thomas suffered a left hamstring strain and will be re-evaluated in three weeks.
N/A,N/A,N/A,N/A,N/A
Zach LaVine,SG,Dec 19,Out,"Dec 16: LaVine (back) has been ruled out for Monday's game against the Raptors, Blake Murphy of Sportsnet.ca reports."
Dalen Terry,F,Dec 19,Out,"Dec 16: Terry (knee) has been ruled out for Monday's game against the Raptors, Blake Murphy of Sportsnet.ca reports."
E.J. Liddell,F,Dec 19,Out,Dec 16: Liddell (knee) has been ruled out for Monday's game against the Raptors.
N/A,N/A,N/A,N/A,N/A
Jaylon Tyson,F,Dec 20,Out,Dec 15: Tyson has been ruled out for Monday's game against the Nets due to an illness.
Craig Porter Jr.,G,Dec 16,Day-To-Day,Dec 15: Porter is questionable for Monday's game against the Nets due to a left ankle sprain.
Max Strus,SG,Dec 20,Out,Dec 15: Strus (ankle) has been ruled out for Monday's game against the Nets.
Luke Travers,G,Dec 20,Day-To-Day,"Dec 15: Travers signed a two-way contract with the Cavaliers on Wednesday, Adrian Wojnarowski of ESPN reports."
Emoni Bates,F,Dec 20,Out,"Oct 7: Bates underwent surgery Wednesday to repair a torn meniscus in his right knee, Spencer Davies of SI.com reports."
N/A,N/A,N/A,N/A,N/A
Brandon Williams,G,Dec 19,Day-To-Day,"Dec 16: Williams (thumb) won't play in Sunday's game versus the Warriors, Eddie Sefko of the Mavericks' official site reports."
Naji Marshall,SF,Dec 19,Day-To-Day,"Dec 16: Marshall (illness) is out for Sunday's game versus the Warriors, Grant Afseth of DallasHoopsJournal.com reports."
Maxi Kleber,PF,Jan 6,Out,"Dec 14: Kleber has been diagnosed with a fractured rib, Grant Afseth of DallasHoopsJournal.com reports."
Jaden Hardy,G,Dec 19,Out,"Dec 14: Hardy (ankle) will not play in Sunday's game versus the Warriors, Eddie Sefko of the Mavericks' official site reports."
Dante Exum,G,Jan 20,Out,"Oct 9: Exum underwent surgery on his right wrist Tuesday, Grant Afseth of EssentiallySports.com reports."
N/A,N/A,N/A,N/A,N/A
Dario Saric,PF,Dec 19,Out,Dec 15: Saric (ankle) has been ruled out for Monday's game against the Kings.
Christian Braun,G,Dec 16,Day-To-Day,Dec 15: Braun is questionable for Monday's game against the Kings due to low back spasms.
Jamal Murray,PG,Dec 16,Day-To-Day,Dec 15: Murray is probable for Monday's game against the Kings due to right hamstring inflammation.
Vlatko Cancar,SF,Feb 20,Out,"Dec 4: Cancar (knee) will be re-evaluated in 8 weeks following left knee surgery, Ryan Blackburn of MileHighSports.com reports."
DaRon Holmes II,C,Jul 1,Out,
N/A,N/A,N/A,N/A,N/A
Isaiah Stewart,C,Dec 19,Day-To-Day,"Dec 16: Stewart has been ruled out for the remainder of Monday's game against the Heat due to a hyperextended left knee. He'll finish the game with four points (2-4 FG, 0-1 3Pt) and three rebounds across seven minutes."
Jaden Ivey,PG,Dec 19,Out,Dec 16: Ivey (knee) is a late scratch from Detroit's lineup against Miami on Monday.
Tobias Harris,F,Dec 19,Out,Dec 15: Harris (hand) has been ruled out for Monday's game against the Heat.
N/A,N/A,N/A,N/A,N/A
Moses Moody,SG,Dec 19,Day-To-Day,"Dec 16: Moody (knee) is out for Sunday's game versus the Mavericks and is considered day-to-day moving forward, Ohm Youngmisuk of ESPN.com reports."
Dennis Schroder,PG,Dec 19,Day-To-Day,Dec 15: Schroder (trade pending) has been ruled out for Sunday's game against the Mavericks.
N/A,N/A,N/A,N/A,N/A
Steven Adams,C,Dec 19,Day-To-Day,"Dec 14: Adams recorded four points (1-2 FG, 2-4 FT) and six rebounds across six minutes off the bench in Saturday's 111-96 loss to the Thunder. He exited the game in the third quarter and didn't return, according to Adam Wexler of Sportstalk 790 Houston."
N/A,N/A,N/A,N/A,N/A
Aaron Nesmith,SF,Dec 26,Out,"Dec 10: Dustin Dopirak of The Indianapolis StarIndiana coach Rick Carlisle said Nesmith (ankle) is still weeks away from returning to action, Dustin Dopirak reports."
Ben Sheppard,G,Dec 23,Out,"Nov 24: Coach Rick Carlisle said Sunday that Sheppard (oblique) will miss multiple weeks, Dustin Dopirak of The Indianapolis Star reports."
Isaiah Jackson,SF,Oct 1,Out,"Nov 2: Jackson suffered a torn Achilles during Friday's game against the Pelicans, Shams Charania of ESPN reports."
James Wiseman,C,Oct 1,Out,"Oct 25: Wiseman underwent successful surgery to repair a torn left Achilles on Thursday, Shams Charania of ESPN reports."
N/A,N/A,N/A,N/A,N/A
Kobe Brown,G,Dec 19,Out,"Dec 11: Brown (back) was on-court for shooting drills during Wednesday's practice, although no other activity was mentioned, independent NBA writer Justin Russo reports."
Kawhi Leonard,SF,Dec 19,Out,"Dec 10: Coach Tyronn Lue said Leonard (knee) logged a limited practice Tuesday, Law Murray of The Athletic reports."
Derrick Jones Jr.,SF,Dec 27,Out,"Dec 10: The Clippers announced Tuesday that Jones has a right hamstring strain and will be re-evaluated in two weeks, Joey Linn of SI.com reports."
Terance Mann,SG,Dec 27,Out,"Dec 4: Mann will undergo surgery to repair his fractured left middle finger and will be re-evaluated in three weeks, Joey Linn of SI.com reports."
P.J. Tucker,PF,Dec 27,Out,"Oct 20: The Clippers announced Sunday that Tucker will not be with the team moving forward, Joey Linn of SI.com reports."
N/A,N/A,N/A,N/A,N/A
Armel Traore,F,Dec 19,Day-To-Day,"Dec 16: Traore is out for Sunday's game against the Grizzlies due to a right quad contusion, Ryan Ward of LakersNation.com reports."
Jalen Hood-Schifino,G,Dec 19,Out,"Dec 14: Hood-Schifino (hamstring) is out for Sunday's game against the Grizzlies, Dan Woike of the Los Angeles Times reports."
Jarred Vanderbilt,PF,Jan 9,Out,"Dec 3: After experiencing fluid in his left knee during the rehab process, Vanderbilt's expected return has been pushed to early January, ESPN's Shams Charania reports."
Jaxson Hayes,C,Dec 19,Out,"Nov 30: Hayes (ankle) is expected to be sidelined 2-to-3 weeks, Shams Charania of ESPN reports."
Christian Wood,F,Dec 23,Out,"Nov 12: Coach JJ Redick said Tuesday that Wood (knee) has experienced soreness in his surgically repaired knee and will miss at least four more weeks, Dan Woike of the Los Angeles Times reports."
N/A,N/A,N/A,N/A,N/A
GG Jackson II,F,Jan 13,Out,"Dec 4: Jackson (foot) ""continues to progress well"" from offseason foot surgery and is expected to return to play in 6-8 weeks"
Vince Williams Jr.,G,Jan 3,Out,Nov 21: The Grizzlies announced Thursday that Williams has been diagnosed with a Grade 3 right ankle sprain and will be re-evaluated in approximately four weeks.
N/A,N/A,N/A,N/A,N/A
Nikola Jovic,F,Dec 20,Out,"Dec 15: Jovic (ankle) has been ruled out for Monday's game against the Pistons, Ky Carlin of USA Today reports."
Pelle Larsson,G,Dec 20,Out,"Dec 15: Larsson (ankle) has been ruled out for Monday's game against the Pistons, Ira Winderman of the South Florida Sun Sentinel reports."
Josh Richardson,SG,Dec 20,Out,"Dec 11: Richardson had an injection in his left heel Wednesday and will miss at least one week, Ira Winderman of the South Florida Sun Sentinel reports."
N/A,N/A,N/A,N/A,N/A
Liam Robbins,C,Dec 17,Day-To-Day,Dec 16: Robbins (ankle) is listed as questionable for Tuesday's NBA Cup Championship game against the Thunder.
Giannis Antetokounmpo,PF,Dec 17,Day-To-Day,Dec 16: Antetokounmpo (knee) is listed as probable for Tuesday's NBA Cup Championship game against the Thunder.
Khris Middleton,SF,Dec 17,Day-To-Day,Dec 16: Middleton (illness) is probable for Tuesday's NBA Cup Championship game against the Thunder.
