Name,Height,Weight,Reach,Stance,Wins,Losses,Draws
Aaron,,--,155 lbs.,--,,5,3
Abbadi,The Assassin,"5' 11""",155 lbs.,--,Orthodox,4,6
Abbasov,Bayraktar,"5' 8""",155 lbs.,"66.0""",Orthodox,28,4
Abbott,Tank,"6' 0""",265 lbs.,--,Switch,10,15
Abdelwahab,The Hammer,"6' 2""",264 lbs.,"72.0""",Southpaw,5,0
Abdul-Malik,,"6' 2""",185 lbs.,"79.0""",Orthodox,7,0
Abdurakhimov,Abrek,"6' 3""",235 lbs.,"76.0""",Orthodox,20,8
Abe,Abe Ani,"5' 6""",145 lbs.,--,Orthodox,8,15
Abe,,"5' 11""",170 lbs.,"71.0""",Orthodox,6,2
Abedi,Makambo,"5' 11""",185 lbs.,--,Southpaw,10,4
Abreu,Demente,"5' 11""",185 lbs.,--,Orthodox,5,1
Abreu,White Bear,"6' 0""",205 lbs.,"74.0""",Orthodox,15,4
Abreu,,--,--,--,,0,0
Acacio,,"5' 8""",180 lbs.,--,Orthodox,30,18
Adajar,The Outlaw,"5' 9""",170 lbs.,"75.0""",Orthodox,6,2
Adams,,"6' 0""",225 lbs.,--,Southpaw,8,1
Adams,The Kraken,"6' 5""",265 lbs.,"80.0""",Orthodox,5,3
Adams,Sugafoot,"6' 1""",185 lbs.,"76.0""",Orthodox,8,2
Adashev,The Lion,"5' 5""",125 lbs.,"65.0""",Southpaw,4,4
Adesanya,The Last Stylebender,"6' 4""",185 lbs.,"80.0""",Switch,24,4
Adkins,The Experience,"6' 3""",225 lbs.,--,Orthodox,7,20
Ado,,"5' 11""",170 lbs.,"76.0""",Switch,5,1
Agallar,,"5' 8""",155 lbs.,--,Orthodox,24,6
Agapova,Money Mashka,"5' 6""",125 lbs.,"68.0""",Southpaw,10,5
Agasa,Kannadiga,--,135 lbs.,--,,12,3
Backstrom,,"6' 1""",145 lbs.,--,Orthodox,11,3
Baczynski,The Polish Pistola,"6' 3""",170 lbs.,"75.0""",Orthodox,20,14
Badakhshi,The Afghan Lion,--,145 lbs.,--,,13,3
Bader,Darth,"6' 2""",205 lbs.,"74.0""",Orthodox,23,5
Badurek,,"5' 5""",115 lbs.,--,Orthodox,6,3
Baeza,Caramel Thunder,"6' 2""",170 lbs.,"74.0""",Orthodox,10,4
Bagautinov,Puncher,"5' 4""",125 lbs.,"65.0""",Orthodox,15,6
Baghdad,The Sultan,"6' 1""",155 lbs.,--,Orthodox,11,5
Baghdasaryan,The Gun,"5' 9""",145 lbs.,"70.0""",Southpaw,8,2
Bahadurzada,The Great,"5' 11""",170 lbs.,"73.0""",Orthodox,24,8
Bahamondes,La Jaula,"6' 3""",155 lbs.,"75.0""",Orthodox,16,5
Batebolati,Lion King,"5' 8""",170 lbs.,"71.0""",Southpaw,10,1
Bailey,,"5' 9""",155 lbs.,"75.0""",Southpaw,16,11
Bailey,,"5' 9""",145 lbs.,--,,6,3
Baker,,"6' 0""",210 lbs.,--,,1,1
Baker,The Beast,"6' 3""",185 lbs.,--,Orthodox,18,5
Bala,,"5' 9""",155 lbs.,--,,23,3
Balajin,The Snow Leopard,"5' 9""",145 lbs.,"72.0""",Orthodox,23,4
Bamgbose,Holy War Angel,"5' 11""",185 lbs.,"78.0""",Switch,6,4
Banaszak,,"6' 0""",145 lbs.,--,,5,5
Bandel,Bomba,"5' 10""",155 lbs.,--,Orthodox,15,7
Bandenay,,"5' 11""",145 lbs.,"71.0""",Southpaw,14,7
Bang,Supernatural,"5' 9""",155 lbs.,"71.0""",Switch,18,10
Banks,,--,--,--,,2,1
Bannon,Mama B,"5' 5""",115 lbs.,"65.0""",Switch,6,1
Cabral,,"5' 11""",155 lbs.,"73.0""",Orthodox,13,3
Cacdac,,"5' 6""",125 lbs.,--,Orthodox,18,13
Caceres,Bruce Leeroy,"5' 10""",145 lbs.,"73.0""",Southpaw,21,15
Cachero,The Anomaly,"5' 6""",145 lbs.,"68.0""",Orthodox,7,4
Cachoeira,Zombie Girl,"5' 7""",125 lbs.,"65.0""",Orthodox,12,6
Calanoc,The Dark Knight,"5' 8""",145 lbs.,--,Orthodox,5,1
Calatayud,,"5' 9""",125 lbs.,--,,16,2
Calderon,Chief,"5' 11""",145 lbs.,"71.0""",Southpaw,6,3
Caldwell,The Wolf,"5' 10""",135 lbs.,--,,10,1
Caliari,,"5' 3""",125 lbs.,"62.0""",Orthodox,8,2
Callens,,"5' 10""",155 lbs.,--,,6,0
Calvillo,,"5' 4""",115 lbs.,"64.0""",Orthodox,9,6
Camacho,,"5' 9""",155 lbs.,--,Orthodox,13,19
Camacho,The Crank,"5' 10""",155 lbs.,"73.0""",Orthodox,22,10
Camacho,,"6' 4""",265 lbs.,"80.0""",Orthodox,6,1
Camoes,Morango,"5' 10""",155 lbs.,"71.0""",Orthodox,14,9
Camozzi,,"6' 2""",185 lbs.,"75.0""",Orthodox,24,13
Camozzi,Mantis,"6' 2""",170 lbs.,"78.0""",Orthodox,7,5
Camp,2 Slick,"5' 7""",135 lbs.,--,,11,4
Campbell,The Beast,"5' 9""",155 lbs.,--,Southpaw,13,4
Campbell,,--,--,--,,3,3
Campbell,Shaolin,"6' 0""",155 lbs.,"71.0""",Orthodox,14,6
Campbell,The Cannibal,"6' 0""",155 lbs.,"72.0""",Orthodox,9,2
Campetella,,"5' 9""",235 lbs.,--,Orthodox,0,1
Campos,Galeto,"5' 6""",145 lbs.,--,Southpaw,12,10
D'alelio,The Monster,"5' 7""",145 lbs.,--,,11,7
da Matta,Parrumpinha,"5' 4""",145 lbs.,--,,11,3
da Silva,Frankenstein,"6' 3""",205 lbs.,"76.0""",Orthodox,14,5
da Silva,Queen of Violence,"5' 6""",125 lbs.,"67.0""",Orthodox,17,10
Da Silva,Leko,"5' 8""",155 lbs.,"73.0""",Orthodox,21,4
Da Silva Lopes,Montanha,"6' 3""",240 lbs.,--,,5,2
