team,player,position,injury,status
N/A,N/A,N/A,N/A,N/A
N/A,Jesse Luketa,LB,"Dec 15: Luketa sustained a thigh injury and is questionable to return to Sunday's game against the Patriots, Darren Urban of the Cardinals' official site reports.",Questionable
N/A,Mack Wilson Sr.,LB,"Dec 15: Wilson was ruled out with a concussion for the remainder of Sunday's game against the Patriots, Darren Urban of the Cardinals' official site reports.",Questionable
N/A,Xavier Weaver,WR,,Out
N/A,Travis Vokolek,TE,,Out
N/A,Khyiris Tonga,DT,,Out
N/A,Christian Jones,OT,,Out
N/A,Blake Gillikin,P,"Dec 14: Arizona placed Gillikin (foot) on injured reserve Saturday, Theo Mackie of The Arizona Republic reports.",Injured Reserve
N/A,Emari Demercado,RB,"Dec 14: The Cardinals placed Demercado (back) on injured reserve Saturday, Theo Mackie of The Arizona Republic reports.",Injured Reserve
N/A,Elijah Jones,CB,"Dec 13: Jones (ankle) has been ruled out for Sunday's matchup against New England, Zach Gershman of the Cardinals' official site reports.",Injured Reserve
N/A,Matt Prater,PK,"Dec 11: Head coach Jonathan Gannon said Wednesday that he remains hopeful Prater (knee) will return from injured reserve this season, Darren Urban of the Cardinals' official site reports.",Injured Reserve
N/A,Dennis Gardeck,LB,"Oct 25: The Cardinals placed Gardeck (knee) on injured reserve Friday, Darren Urban of the team's official site reports.",Injured Reserve
N/A,Bilal Nichols,DT,"Oct 15: The Cardinals placed Nichols (undisclosed) on injured reserve Tuesday, and he is expected to miss the rest of the regular season, Adam Schefter of ESPN reports.",Injured Reserve
N/A,Will Hernandez,G,Oct 8: Hernandez (knee) was placed on injured reserve Tuesday.,Injured Reserve
N/A,Justin Jones,DT,Sep 25: Jones (triceps) was placed on injured reserve Wednesday.,Injured Reserve
N/A,BJ Ojulari,LB,"Aug 5: The Cardinals placed Ojulari (knee) on injured reserve Monday, Darren Urban of the team's official site reports.",Injured Reserve
N/A,Carter O'Donnell,OT,"Jul 24: O'Donnell (undisclosed) reverted to the Cardinals' injured reserve Wednesday, Aaron Wilson of KPRC 2 Houston reports.",Injured Reserve
N/A,N/A,N/A,N/A,N/A
N/A,Ruke Orhorhoro,DT,"Dec 14: Orhorhoro, who is on IR due to an ankle injury, is questionable to play against Las Vegas on Monday, Marc Raimondi of ESPN.com reports.",Injured Reserve
N/A,Casey Washington,WR,"Dec 14: Washington (concussion) has been ruled out for Monday's matchup against the Raiders, Marc Raimondi of ESPN.com reports.",Out
N/A,Troy Andersen,LB,"Dec 14: Andersen (knee) won't suit up Monday against Las Vegas, Marc Raimondi of ESPN.com reports.",Out
N/A,Jase McClellan,RB,"Dec 11: McClellan (knee) was placed on injured reserve Wednesday, Terrin Waack of the Falcons' official site reports.",Injured Reserve
N/A,DeMarcco Hellams,S,"Nov 27: Coach Raheem Morris said Wednesday that Hellams (ankle) is still ""slow to go,"" Marc Raimondi of ESPN.com reports.",Injured Reserve
N/A,Ta'Quon Graham,DT,"Nov 17: The Falcons placed Graham (pectoral) on injured reserve Saturday, Daniel Flick of SI.com reports.",Injured Reserve
N/A,James Smith-Williams,DE,"Nov 16: The Falcons placed Smith-Williams (lower leg) on injured reserve Saturday, Daniel Flick of SI.com reports.",Injured Reserve
