commence_time,home_team,away_team,bookmaker,market_type,name,price,point
2024-12-22T17:59:00Z,Washington Commanders,Philadelphia Eagles,DraftKings,spreads,Philadelphia Eagles,36.0,2.5
2024-12-22T17:59:00Z,Washington Commanders,Philadelphia Eagles,DraftKings,spreads,Washington Commanders,1.0,-2.5
2024-12-22T17:59:00Z,Washington Commanders,Philadelphia Eagles,FanDuel,h2h,Philadelphia Eagles,1.82,
2024-12-22T17:59:00Z,Washington Commanders,Philadelphia Eagles,FanDuel,h2h,Washington Commanders,1.96,
2024-12-22T17:59:00Z,Washington Commanders,Philadelphia Eagles,BetRivers,spreads,Philadelphia Eagles,1.85,2.0
2024-12-22T17:59:00Z,Washington Commanders,Philadelphia Eagles,BetRivers,spreads,Washington Commanders,1.88,-2.0
2024-12-22T17:59:00Z,Washington Commanders,Philadelphia Eagles,BetMGM,h2h,Philadelphia Eagles,1.8,
2024-12-22T17:59:00Z,Washington Commanders,Philadelphia Eagles,BetMGM,h2h,Washington Commanders,2.0,
2024-12-22T17:59:00Z,Washington Commanders,Philadelphia Eagles,Bovada,h2h,Philadelphia Eagles,1.91,
2024-12-22T17:59:00Z,Washington Commanders,Philadelphia Eagles,Bovada,h2h,Washington Commanders,1.83,
2024-12-22T18:02:00Z,Carolina Panthers,Arizona Cardinals,DraftKings,h2h,Arizona Cardinals,14.0,
2024-12-22T18:02:00Z,Carolina Panthers,Arizona Cardinals,DraftKings,h2h,Carolina Panthers,1.03,
2024-12-22T18:02:00Z,Carolina Panthers,Arizona Cardinals,FanDuel,h2h,Arizona Cardinals,15.0,
2024-12-22T18:02:00Z,Carolina Panthers,Arizona Cardinals,FanDuel,h2h,Carolina Panthers,1.02,
2024-12-22T18:02:00Z,Carolina Panthers,Arizona Cardinals,BetRivers,h2h,Arizona Cardinals,13.0,
2024-12-22T18:02:00Z,Carolina Panthers,Arizona Cardinals,BetRivers,h2h,Carolina Panthers,1.01,
2024-12-22T18:02:00Z,Carolina Panthers,Arizona Cardinals,BetRivers,spreads,Arizona Cardinals,1.13,5.5
2024-12-22T18:02:00Z,Carolina Panthers,Arizona Cardinals,BetRivers,spreads,Carolina Panthers,5.1,-5.5
2024-12-22T18:02:00Z,Carolina Panthers,Arizona Cardinals,BetRivers,totals,Over,5.0,65.5
2024-12-22T18:02:00Z,Carolina Panthers,Arizona Cardinals,BetRivers,totals,Under,1.15,65.5
2024-12-22T18:02:00Z,Carolina Panthers,Arizona Cardinals,BetMGM,h2h,Arizona Cardinals,16.0,
2024-12-22T18:02:00Z,Carolina Panthers,Arizona Cardinals,BetMGM,h2h,Carolina Panthers,1.01,
2024-12-22T21:06:00Z,Seattle Seahawks,Minnesota Vikings,DraftKings,h2h,Minnesota Vikings,1.29,
2024-12-22T21:06:00Z,Seattle Seahawks,Minnesota Vikings,DraftKings,h2h,Seattle Seahawks,3.5,
2024-12-22T21:06:00Z,Seattle Seahawks,Minnesota Vikings,DraftKings,spreads,Minnesota Vikings,1.8,-6.5
2024-12-22T21:06:00Z,Seattle Seahawks,Minnesota Vikings,DraftKings,spreads,Seattle Seahawks,1.95,6.5
2024-12-22T21:06:00Z,Seattle Seahawks,Minnesota Vikings,DraftKings,totals,Over,1.87,41.5
2024-12-22T21:06:00Z,Seattle Seahawks,Minnesota Vikings,DraftKings,totals,Under,1.87,41.5
2024-12-22T21:06:00Z,Seattle Seahawks,Minnesota Vikings,FanDuel,h2h,Minnesota Vikings,1.25,
2024-12-22T21:06:00Z,Seattle Seahawks,Minnesota Vikings,FanDuel,h2h,Seattle Seahawks,3.85,
2024-12-22T21:06:00Z,Seattle Seahawks,Minnesota Vikings,FanDuel,spreads,Minnesota Vikings,1.98,-7.5
2024-12-22T21:06:00Z,Seattle Seahawks,Minnesota Vikings,FanDuel,spreads,Seattle Seahawks,1.78,7.5
2024-12-22T21:06:00Z,Seattle Seahawks,Minnesota Vikings,FanDuel,totals,Over,2.04,41.5
2024-12-22T21:06:00Z,Seattle Seahawks,Minnesota Vikings,FanDuel,totals,Under,1.74,41.5
2024-12-22T21:06:00Z,Seattle Seahawks,Minnesota Vikings,MyBookie.ag,h2h,Minnesota Vikings,1.3,
2024-12-22T21:06:00Z,Seattle Seahawks,Minnesota Vikings,MyBookie.ag,h2h,Seattle Seahawks,3.65,
2024-12-22T21:06:00Z,Seattle Seahawks,Minnesota Vikings,MyBookie.ag,spreads,Minnesota Vikings,1.9,-7.5
2024-12-22T21:06:00Z,Seattle Seahawks,Minnesota Vikings,MyBookie.ag,spreads,Seattle Seahawks,1.85,7.5
2024-12-22T21:06:00Z,Seattle Seahawks,Minnesota Vikings,MyBookie.ag,totals,Over,1.8,43.5
2024-12-22T21:06:00Z,Seattle Seahawks,Minnesota Vikings,MyBookie.ag,totals,Under,1.95,43.5
2024-12-22T21:06:00Z,Seattle Seahawks,Minnesota Vikings,BetRivers,h2h,Minnesota Vikings,1.25,
2024-12-22T21:06:00Z,Seattle Seahawks,Minnesota Vikings,BetRivers,h2h,Seattle Seahawks,3.2,
2024-12-22T21:06:00Z,Seattle Seahawks,Minnesota Vikings,BetRivers,spreads,Minnesota Vikings,1.83,-7.0
